dataset,method,NMI,ACC,ARI,Purity,true_c,c_out,count_abs_error,runtime_s,peak_rss_mb,n,status,panel
smile1,DPC-MFP,0.7559951141637198,0.642,0.6187067750114108,1.0,4,14,10,28.74848,1136.266,1000,ok,formal21
smile3,SNI-DPC,1.0,1.0,1.0,1.0,4,4,0,5.6547,158.121,1000,ok,formal21
smile3,Gravity,1.0,1.0,1.0,1.0,4,4,0,5.875474,235.441,1000,ok,formal21
smile3,Torque Clustering,1.0,1.0,1.0,1.0,4,4,0,30.06102,1133.242,1000,ok,formal21
smile3,LDCC,1.0,1.0,1.0,1.0,4,4,0,3.2959,158.281,1000,ok,formal21
smile3,Gauging-delta,0.2964418363720453,0.014,0.001451315472378,1.0,4,869,865,40.5389,1255.695,1000,ok,formal21
smile3,DPC-MFP,0.5672944103373468,0.349,0.2431286623321352,1.0,4,23,19,29.229316,1134.496,1000,ok,formal21
triangle1,SNI-DPC,0.9905929322453414,0.998,0.9946666935258882,0.998,4,4,0,6.199092,155.766,1000,ok,formal21
triangle1,Gravity,1.0,1.0,1.0,1.0,4,4,0,5.887975,236.863,1000,ok,formal21
triangle1,Torque Clustering,1.0,1.0,1.0,1.0,4,4,0,30.271438,1135.152,1000,ok,formal21
triangle1,LDCC,0.9455871522857174,0.984,0.9581879015530812,0.984,4,4,0,3.7487,158.02,1000,ok,formal21
triangle1,Gauging-delta,0.9213275799238236,0.951,0.9357715238394404,1.0,4,18,14,82.7589,1285.949,1000,ok,formal21
triangle1,DPC-MFP,0.8506803263344923,0.73,0.778855463032147,1.0,4,8,4,29.522689,1142.738,1000,ok,formal21
twenty,SNI-DPC,1.0,1.0,1.0,1.0,20,20,0,6.235704,160.051,1000,ok,formal21
twenty,Gravity,1.0,1.0,1.0,1.0,20,20,0,5.613651,234.504,1000,ok,formal21
twenty,Torque Clustering,1.0,1.0,1.0,1.0,20,20,0,29.261407,1132.074,1000,ok,formal21
twenty,LDCC,1.0,1.0,1.0,1.0,20,20,0,3.5186,157.5,1000,ok,formal21
twenty,Gauging-delta,0.996738049145012,0.996,0.995777666008732,1.0,20,24,4,50.7168,1275.246,1000,ok,formal21
twenty,DPC-MFP,1.0,1.0,1.0,1.0,20,20,0,29.779695,1135.41,1000,ok,formal21
xclara,SNI-DPC,0.98723476082045,0.9976666666666668,0.99289452504611,0.9976666666666668,3,3,0,19.923804,212.934,3000,ok,formal21
xclara,Gravity,0.9689154499361198,0.9876666666666668,0.9806412708020124,0.998,3,4,1,22.694838,821.359,3000,ok,formal21
xclara,Torque Clustering,0.9920220061088596,0.9986666666666668,0.995934259728676,0.9986666666666668,3,3,0,29.519685,1282.141,3000,ok,formal21
xclara,LDCC,0.98723476082045,0.9976666666666668,0.99289452504611,0.9976666666666668,3,3,0,4.8418,225.707,3000,ok,formal21
xclara,Gauging-delta,0.90207322281446,0.9646666666666668,0.9403255365017308,0.9966666666666668,3,26,23,1420.1855,11207.852,3000,ok,formal21
xclara,DPC-MFP,0.4231633410674048,0.1423333333333333,0.0842396138737739,0.998,3,77,74,29.214185,1192.207,3000,ok,formal21
zelnik5,SNI-DPC,1.0000000000000002,1.0,1.0,1.0,4,4,0,4.177368,148.41,512,ok,formal21
zelnik5,Gravity,1.0000000000000002,1.0,1.0,1.0,4,4,0,4.203132,178.191,512,ok,formal21
zelnik5,Torque Clustering,1.0,1.0,1.0,1.0,4,4,0,28.943599,1125.199,512,ok,formal21
zelnik5,LDCC,1.0000000000000002,1.0,1.0,1.0,4,4,0,2.882,151.344,512,ok,formal21
zelnik5,Gauging-delta,0.3886473052044553,0.04296875,0.0115840977911213,1.0,4,354,350,24.7486,375.281,512,ok,formal21
zelnik5,DPC-MFP,0.8536954483528002,0.72265625,0.7551756074822681,1.0,4,7,3,28.46029,1134.27,512,ok,formal21
sizes2,SNI-DPC,0.928890138788064,0.983,0.963782470982988,0.983,4,4,0,5.699961,158.543,1000,ok,challenge8
sizes2,Gravity,0.9564361827247276,0.991,0.980276552265513,0.991,4,4,0,5.331882,224.867,1000,ok,challenge8
sizes2,Torque Clustering,0.8118145800619854,0.84,0.695178561522089,0.981,4,5,1,38.148501,1106.727,1000,ok,challenge8
sizes2,LDCC,0.4947329062389611,0.714,0.3497617211186213,0.714,4,2,2,4.428781,156.328,1000,ok,challenge8
sizes2,Gauging-delta,0.0317240538887502,0.572,0.0101173061736174,0.58,4,6,2,151.61361,1340.535,1000,ok,challenge8
sizes2,DPC-MFP,0.5994827954234035,0.565,0.3018081428978117,0.983,4,18,14,37.096799,1125.691,1000,ok,challenge8
disk-6000n,SNI-DPC,0.9970752360961744,0.9998333333333334,0.9992342628265876,0.9998333333333334,2,2,0,73.345714,307.605,6000,ok,challenge8
disk-6000n,Gravity,0.0,0.8,0.0,0.8,2,1,1,85.144834,2987.766,6000,ok,challenge8
disk-6000n,Torque Clustering,0.2366043607176276,0.0895,0.0253673792064203,1.0,2,47,45,37.581816,1768.227,6000,ok,challenge8
disk-6000n,LDCC,0.0,0.8,0.0,0.8,2,1,1,12.284754,451.211,6000,ok,challenge8
disk-6000n,Gauging-delta,1.0,1.0,1.0,1.0,2,2,0,4596.284746,1994.211,6000,ok,challenge8
disk-6000n,DPC-MFP,0.1770391214641348,0.0283333333333333,0.0063869573946593,0.9991666666666666,2,214,212,36.203571,1396.527,6000,ok,challenge8
cluto-t8-8k,SNI-DPC,0.9558489280611352,0.949980461117624,0.9358637455612576,0.9541487560244888,8,8,0,93.694405,418.25,8000,ok,challenge8
cluto-t8-8k,Gravity,0.902645735240165,0.8354826103946854,0.8032290155078405,0.8354826103946854,8,7,1,223.219382,4754.066,8000,ok,challenge8
